map_name,source,n_neighbours_50m,n_neighbours_100m
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,1
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,1,1
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,1
K-35-053-2,student,0,1
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,1
K-35-053-2,student,0,1
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,1
K-35-053-2,student,0,1
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,1
K-35-053-2,student,0,1
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,1
K-35-053-2,student,0,1
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,student,0,0
K-35-053-2,reviewer_phantom,0,0
K-35-053-2,reviewer_phantom,0,0
K-35-053-2,reviewer_phantom,0,0
K-35-053-2,reviewer_phantom,0,1
K-35-053-2,reviewer_phantom,1,1
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,1
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,1,1
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,1,1
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,1,1
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
K-35-053-4_Boyadzhik,student,0,0
