item_id,current_queue_index,reasons,verdict,displacement_m,n_candidates_in_range,n_marks_sharing_partner,marked_at
promoted_phantom:101,231,rule_consistency,distinct,4.1824065042824765,,,2026-08-05T04:50:42.097269+00:00
promoted_phantom:103,232,rule_consistency,distinct,2.6569217763713584,,,2026-08-05T04:50:56.288700+00:00
promoted_phantom:104,233,rule_consistency,distinct,6.618499659435171,,,2026-08-05T04:51:00.129239+00:00
promoted_phantom:105,234,rule_consistency,distinct,0.8107292292841468,,,2026-08-05T04:51:06.302152+00:00
promoted_phantom:106,235,rule_consistency,distinct,6.841406703900589,,,2026-08-05T04:51:11.260393+00:00
promoted_phantom:111,236,rule_consistency,same_as_neighbour,129.92611183645494,,,2026-08-05T04:51:33.129930+00:00
promoted_phantom:119,237,rule_consistency,distinct,1.9402701353785865,,,2026-08-05T05:40:08.639817+00:00
promoted_phantom:121,238,rule_consistency,distinct,14.959687684871552,,,2026-08-05T05:40:21.094105+00:00
promoted_phantom:123,239,rule_consistency,same_as_neighbour,139.82667480702386,,,2026-08-05T05:40:41.531330+00:00
promoted_phantom:128,240,rule_consistency,distinct,8.70633027331749,,,2026-08-05T05:41:24.715887+00:00
promoted_phantom:582,352,partner_ambiguity,same_as_neighbour,123.0700612069812,2.0,,2026-08-05T12:20:00.744461+00:00
promoted_phantom:657,359,partner_ambiguity+double_claim,same_as_neighbour,102.682215384695,2.0,2.0,2026-08-05T12:20:51.696288+00:00
corrected_student:656,375,jitter_precision,distinct,11.297056646472326,,,2026-08-05T12:23:45.550402+00:00
corrected_student:813,376,jitter_precision,distinct,16.551424650390654,,,2026-08-05T12:23:48.626057+00:00
corrected_student:1685,380,jitter_precision,distinct,12.387752935111587,,,2026-08-05T12:24:04.678016+00:00
corrected_student:2276,382,jitter_precision,distinct,7.253953628273092,,,2026-08-05T12:24:10.010525+00:00
corrected_student:2350,383,jitter_precision,distinct,8.267325189116145,,,2026-08-05T12:24:12.903560+00:00
corrected_student:2363,384,jitter_precision,distinct,1.56702911852883,,,2026-08-05T12:24:16.435023+00:00
corrected_student:2465,385,jitter_precision,distinct,17.38911239108449,,,2026-08-05T12:24:20.277823+00:00
corrected_student:2658,388,jitter_precision,distinct,11.379639221639795,,,2026-08-05T12:24:29.806300+00:00
corrected_student:2752,389,jitter_precision,distinct,9.533806084815003,,,2026-08-05T12:24:32.248688+00:00
corrected_student:3194,392,jitter_precision,distinct,4.062502526317766,,,2026-08-05T12:24:43.689238+00:00
corrected_student:3259,393,jitter_precision,distinct,7.392654649452941,,,2026-08-05T12:24:47.186762+00:00
corrected_student:3775,395,jitter_precision,distinct,6.172229242495971,,,2026-08-05T12:24:53.310879+00:00
corrected_student:3779,396,jitter_precision,distinct,7.661368245743792,,,2026-08-05T12:24:56.272501+00:00
corrected_student:3895,397,jitter_precision,distinct,2.823141183628412,,,2026-08-05T12:24:58.408112+00:00
corrected_student:4294,399,jitter_precision,distinct,5.107406060422743,,,2026-08-05T12:25:12.361013+00:00
corrected_student:4727,400,jitter_precision,distinct,5.475199151592174,,,2026-08-05T12:25:14.979275+00:00
